what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1336391214510
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1336391214859
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1336391214890
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1336391214918
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1336391214918
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1336391214958
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1336391214997
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1336391214997
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1336391215011
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1336391215034
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1336391215090
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1336391215196
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1336391215363
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1336391215440
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1336391215525
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1336391215526
started,bundle,org.eclipse.uml2.common.edit,1.5.0.v201005031530,"org.eclipse.uml2.common.edit",1336391215562
started,bundle,org.eclipse.uml2.uml,3.2.100.v201108110105,"org.eclipse.uml2.uml",1336391216197
started,bundle,org.eclipse.uml2.uml.edit,3.1.100.v201009281840,"org.eclipse.uml2.uml.edit",1336391216214
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1336391216228
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1336391216248
started,bundle,org.eclipse.wb.core.xml,1.3.0.r37x201202052344,"org.eclipse.wb.core.xml",1336391216261
started,bundle,org.eclipse.wb.rcp,1.3.0.r37x201202010053,"org.eclipse.wb.rcp",1336391216271
started,bundle,org.eclipse.wb.rcp.databinding,1.3.0.r37x201202010053,"org.eclipse.wb.rcp.databinding",1336391216281
started,bundle,org.eclipse.wb.swing,1.3.0.r37x201202021417,"org.eclipse.wb.swing",1336391216295
started,bundle,org.eclipse.wb.swing.databinding,1.3.0.r37x201202021417,"org.eclipse.wb.swing.databinding",1336391216303
started,bundle,org.eclipse.wb.swt,1.3.0.r37x201202010030,"org.eclipse.wb.swt",1336391216313
started,bundle,org.eclipse.wb.xwt,1.3.0.r37x201202061752,"org.eclipse.wb.xwt",1336391216343
os,sysinfo,,,"linux",1336391216346
arch,sysinfo,,,"x86",1336391216346
ws,sysinfo,,,"gtk",1336391216346
locale,sysinfo,,,"en_US",1336391216346
processors,sysinfo,,,"4",1336391216346
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1336391216346
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1336391216346
java.specification.name,sysinfo,,,"Java Platform API Specification",1336391216346
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1336391216346
java.specification.version,sysinfo,,,"1.6",1336391216346
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1336391216346
java.version,sysinfo,,,"1.6.0_24",1336391216346
java.vm.info,sysinfo,,,"mixed mode, sharing",1336391216346
java.vm.name,sysinfo,,,"OpenJDK Client VM",1336391216346
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1336391216346
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1336391216346
java.vm.specification.version,sysinfo,,,"1.0",1336391216346
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1336391216346
