what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.gmf.runtime.emf.core,1.4.1.v20101222-2230,"org.eclipse.gmf.runtime.emf.core",1336401095466
started,bundle,org.eclipse.gmf.runtime.emf.type.core,1.4.0.v20100423-2359,"org.eclipse.gmf.runtime.emf.type.core",1336401095469
started,bundle,org.eclipse.gmf.runtime.emf.ui,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.emf.ui",1336401095481
started,bundle,org.eclipse.gmf.runtime.gef.ui,1.4.1.v20101222-2230,"org.eclipse.gmf.runtime.gef.ui",1336401095484
started,bundle,org.eclipse.gmf.runtime.notation,1.5.0.v20110309-2159,"org.eclipse.gmf.runtime.notation",1336401095489
started,bundle,org.eclipse.gmf.runtime.notation.edit,1.4.0.v20100512-1416,"org.eclipse.gmf.runtime.notation.edit",1336401095489
started,bundle,org.eclipse.ocl,3.1.0.v20120206-0606,"org.eclipse.ocl",1336401095498
started,bundle,org.eclipse.ocl.ecore,3.1.2.v20111015-2027,"org.eclipse.ocl.ecore",1336401095501
started,bundle,org.eclipse.uml2.common,1.6.0.v201105021727,"org.eclipse.uml2.common",1336401095502
started,bundle,org.eclipse.uml2.common.edit,1.5.0.v201005031530,"org.eclipse.uml2.common.edit",1336401095509
started,bundle,org.eclipse.uml2.diagram.activity,0.10.0.201103290533,"org.eclipse.uml2.diagram.activity",1336401095515
started,bundle,org.eclipse.uml2.diagram.clazz,0.10.0.201103290533,"org.eclipse.uml2.diagram.clazz",1336401095527
started,bundle,org.eclipse.uml2.diagram.common,0.9.2.201103290533,"org.eclipse.uml2.diagram.common",1336401095536
started,bundle,org.eclipse.uml2.diagram.common.notation,0.9.0.201103290533,"org.eclipse.uml2.diagram.common.notation",1336401095537
started,bundle,org.eclipse.uml2.diagram.component,0.10.0.201103290533,"org.eclipse.uml2.diagram.component",1336401095548
started,bundle,org.eclipse.uml2.diagram.csd,0.10.0.201103290533,"org.eclipse.uml2.diagram.csd",1336401095554
started,bundle,org.eclipse.uml2.diagram.deploy,0.10.0.201103290533,"org.eclipse.uml2.diagram.deploy",1336401095569
started,bundle,org.eclipse.uml2.diagram.parser,0.9.2.201103290533,"org.eclipse.uml2.diagram.parser",1336401095569
started,bundle,org.eclipse.uml2.diagram.profile,0.10.0.201103290533,"org.eclipse.uml2.diagram.profile",1336401095582
started,bundle,org.eclipse.uml2.diagram.usecase,0.10.0.201103290533,"org.eclipse.uml2.diagram.usecase",1336401095591
started,bundle,org.eclipse.uml2.uml,3.2.100.v201108110105,"org.eclipse.uml2.uml",1336401095601
started,bundle,org.eclipse.uml2.uml.edit,3.1.100.v201009281840,"org.eclipse.uml2.uml.edit",1336401095606
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1336401095615
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1336401095616
os,sysinfo,,,"linux",1336401095620
arch,sysinfo,,,"x86",1336401095620
ws,sysinfo,,,"gtk",1336401095620
locale,sysinfo,,,"en_US",1336401095620
processors,sysinfo,,,"4",1336401095620
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1336401095620
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1336401095620
java.specification.name,sysinfo,,,"Java Platform API Specification",1336401095620
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1336401095620
java.specification.version,sysinfo,,,"1.6",1336401095620
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1336401095620
java.version,sysinfo,,,"1.6.0_24",1336401095620
java.vm.info,sysinfo,,,"mixed mode, sharing",1336401095620
java.vm.name,sysinfo,,,"OpenJDK Client VM",1336401095620
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1336401095620
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1336401095620
java.vm.specification.version,sysinfo,,,"1.0",1336401095620
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1336401095620
java.vm.version,sysinfo,,,"20.0-b12",1336401095620
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1336401113941
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1336401113950
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1336401115187
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1336401115264
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1336401115598
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1336401115634
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1336401115664
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1336401115861
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1336401115910
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1336401116134
started,bundle,org.eclipse.pde,3.7.2.v201202080800,"org.eclipse.pde",1336401116197
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1336401116235
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1336401116251
started,bundle,org.eclipse.gmf.runtime.emf.clipboard.core,1.5.0.v20110529-2230,"org.eclipse.gmf.runtime.emf.clipboard.core",1336401117774
started,bundle,org.eclipse.gmf.runtime.common.ui.services.properties,1.3.1.v20101221-2230,"org.eclipse.gmf.runtime.common.ui.services.properties",1336401133691
started,bundle,org.eclipse.gmf.runtime.diagram.ui.properties,1.4.2.v20101129-2230,"org.eclipse.gmf.runtime.diagram.ui.properties",1336401133695
started,bundle,org.eclipse.gmf.runtime.emf.ui.properties,1.5.0.v20101222-2230,"org.eclipse.gmf.runtime.emf.ui.properties",1336401133797
